Country,Crop,Acres
Central African Republic,Oranges,18540
Central African Republic,Lemons/Limes,1310
Central African Republic,Grapefruit,1826
Central African Republic,Avocados,2931
Central African Republic,Mangoes,6499
Central African Republic,Bananas,49421
Central African Republic,Coffee,1880743
Chad,Mangoes,21708
Chad,Dates,25830
Chile,Oranges,15721
Chile,Tangerines,27866
Chile,Lemons/Limes,20324
Chile,Grapefruit,541
Chile,Apples,71747
Chile,Pears,14698
Chile,Peaches,35309
Chile,Plums/Prunes,40639
Chile,Apricots,1305
Chile,Grapes,447665
Chile,Avocados,80030
Chile,Olives,52240
Chile,Figs,195
Chile,Almonds,23230
Chile,Walnuts,114242
Chile,Hazelnuts,89929
China,Oranges,1045143
China,Tangerines,6193707
China,Lemons/Limes,256473
China,Grapefruit,281640
China,Apples,4833250
China,Pears,2273144
China,Peaches,2133900
China,Plums/Prunes,4938495
China,Apricots,60111
China,Grapes,1748248
China,Avocados,35089
China,Olives,778
China,Figs,6328
China,Mangoes,981301
China,Bananas,843780
China,Coconuts,91308
China,Almonds,59856
China,Walnuts,753290
China,Pistachios,66009
China,Hazelnuts,29223
China,Cashews,509
China,Dates,30597
China,Coffee,81592
"China, Taiwan Province of",Oranges,11925
"China, Taiwan Province of",Tangerines,19593
"China, Taiwan Province of",Lemons/Limes,5943
"China, Taiwan Province of",Grapefruit,11132
"China, Taiwan Province of",Apples,445
"China, Taiwan Province of",Pears,12207
"China, Taiwan Province of",Peaches,4759
"China, Taiwan Province of",Plums/Prunes,3237
"China, Taiwan Province of",Apricots,8310
"China, Taiwan Province of",Grapes,5886
"China, Taiwan Province of",Olives,778
"China, Taiwan Province of",Mangoes,39831
"China, Taiwan Province of",Bananas,36117
"China, Taiwan Province of",Coconuts,4517
"China, Taiwan Province of",Coffee,2824
"China, mainland",Oranges,1033218
"China, mainland",Tangerines,6174114
"China, mainland",Lemons/Limes,250530
"China, mainland",Grapefruit,270508
"China, mainland",Apples,4832805
"China, mainland",Pears,2260937
"China, mainland",Peaches,2129141
"China, mainland",Plums/Prunes,4935258
"China, mainland",Apricots,51801
"China, mainland",Grapes,1742362
"China, mainland",Avocados,35089
"China, mainland",Figs,6328
"China, mainland",Mangoes,941470
"China, mainland",Bananas,807663
"China, mainland",Coconuts,86791
"China, mainland",Almonds,59856
"China, mainland",Walnuts,753290
"China, mainland",Pistachios,66009
"China, mainland",Hazelnuts,29223
"China, mainland",Cashews,509
"China, mainland",Dates,30597
"China, mainland",Coffee,78767
Colombia,Oranges,116841
Colombia,Tangerines,49535
Colombia,Lemons/Limes,102932
Colombia,Apples,1112
Colombia,Pears,3959
Colombia,Peaches,5597
Colombia,Plums/Prunes,3464
Colombia,Grapes,7453
Colombia,Avocados,272268
Colombia,Figs,272
Colombia,Mangoes,123933
Colombia,Bananas,259023
Colombia,Coconuts,47869
Colombia,Cashews,21224
Colombia,Dates,20
Colombia,Coffee,2081610
Comoros,Bananas,36114
Comoros,Coconuts,87885
Comoros,Coffee,2483
Congo,Oranges,1423
Congo,Tangerines,1614
Congo,Lemons/Limes,1166
Congo,Grapefruit,756
Congo,Avocados,2995
Congo,Mangoes,12301
Congo,Bananas,31123
Congo,Coconuts,3415
Congo,Coffee,25909
Cook Islands,Oranges,5
Cook Islands,Avocados,12
Cook Islands,Mangoes,72
Cook Islands,Bananas,10
Cook Islands,Coconuts,2402
Cook Islands,Coffee,2
Costa Rica,Oranges,54981
Costa Rica,Lemons/Limes,4211
Costa Rica,Grapefruit,6482
Costa Rica,Avocados,6682
Costa Rica,Mangoes,8631
Costa Rica,Bananas,111536
Costa Rica,Coconuts,3860
Costa Rica,Coffee,203958
Croatia,Oranges,99
Croatia,Tangerines,5041
Croatia,Lemons/Limes,124
Croatia,Apples,9019
Croatia,Pears,1483
Croatia,Peaches,1507
Croatia,Plums/Prunes,8797
Croatia,Apricots,766
Croatia,Grapes,50904
Croatia,Olives,49174
Croatia,Figs,1384
Croatia,Almonds,2570
Croatia,Walnuts,22017
Croatia,Hazelnuts,20361
Cuba,Oranges,8234
Cuba,Tangerines,4596
Cuba,Lemons/Limes,1535
Cuba,Grapefruit,4092
Cuba,Grapes,3763
Cuba,Avocados,684
Cuba,Mangoes,53108
Cuba,Bananas,74087
Cuba,Coconuts,14253
Cuba,Coffee,46278
Cyprus,Oranges,3212
Cyprus,Tangerines,2224
Cyprus,Lemons/Limes,964
Cyprus,Grapefruit,890
Cyprus,Apples,1063
Cyprus,Pears,198
Cyprus,Peaches,914
